source_word,target_word,language_pair,part_of_speech,definition,frequency
hello,привет,en-ru,interjection,greeting,100
world,мир,en-ru,noun,the earth,95
good,хороший,en-ru,adjective,positive quality,90
bad,плохой,en-ru,adjective,negative quality,85
yes,да,en-ru,adverb,affirmative,100
no,нет,en-ru,adverb,negative,100
please,пожалуйста,en-ru,adverb,polite request,80
thank,спасибо,en-ru,verb,express gratitude,95
you,ты,en-ru,pronoun,second person,100
me,я,en-ru,pronoun,first person,100
love,любовь,en-ru,noun,deep affection,85
time,время,en-ru,noun,duration,90
water,вода,en-ru,noun,liquid,80
food,еда,en-ru,noun,nourishment,85
house,дом,en-ru,noun,dwelling,88
car,машина,en-ru,noun,vehicle,82
book,книга,en-ru,noun,written work,78
school,школа,en-ru,noun,educational institution,85
work,работа,en-ru,noun,job,90
money,деньги,en-ru,noun,currency,88
family,семья,en-ru,noun,relatives,92
friend,друг,en-ru,noun,companion,85
today,сегодня,en-ru,adverb,this day,95
tomorrow,завтра,en-ru,adverb,next day,90
yesterday,вчера,en-ru,adverb,previous day,88
morning,утро,en-ru,noun,early day,85
night,ночь,en-ru,noun,dark hours,83
beautiful,красивый,en-ru,adjective,attractive,80
big,большой,en-ru,adjective,large size,85
small,маленький,en-ru,adjective,little size,83
new,новый,en-ru,adjective,recent,88
old,старый,en-ru,adjective,aged,85
young,молодой,en-ru,adjective,not old,80
happy,счастливый,en-ru,adjective,joyful,85
sad,грустный,en-ru,adjective,sorrowful,78
eat,есть,en-ru,verb,consume food,90
drink,пить,en-ru,verb,consume liquid,88
sleep,спать,en-ru,verb,rest,85
walk,идти,en-ru,verb,move on foot,82
run,бежать,en-ru,verb,move quickly,78
see,видеть,en-ru,verb,observe,90
hear,слышать,en-ru,verb,perceive sound,85
speak,говорить,en-ru,verb,talk,88
write,писать,en-ru,verb,create text,80
read,читать,en-ru,verb,understand text,85
learn,учиться,en-ru,verb,acquire knowledge,88
teach,учить,en-ru,verb,instruct,82
help,помогать,en-ru,verb,assist,85
come,приходить,en-ru,verb,arrive,88
go,идти,en-ru,verb,depart,90
